Q481822,CHEMBL734
Q15051328,CHEMBL1201242
Q193978,CHEMBL1201284
Q204036,CHEMBL293492
Q204954,CHEMBL1200929
Q205517,CHEMBL708
Q207051,CHEMBL239243
Q207688,CHEMBL8659
Q282003,CHEMBL15891
Q284072,CHEMBL442915
Q284209,CHEMBL105712
Q284321,CHEMBL686
Q284367,CHEMBL447878
Q284959,CHEMBL542
Q285687,CHEMBL55242
Q286793,CHEMBL218804
Q286975,CHEMBL49247
Q287629,CHEMBL167667
Q335099,CHEMBL290916
Q339866,CHEMBL2096650
Q339975,CHEMBL93268
Q340139,CHEMBL360328
Q342721,CHEMBL436589
Q342939,CHEMBL348107
Q342968,CHEMBL445612
Q368222,CHEMBL1231131
Q368941,CHEMBL87708
Q373243,CHEMBL162036
Q375145,CHEMBL207280
Q402625,CHEMBL1911053
Q407131,CHEMBL250212
Q407241,CHEMBL40
Q407431,CHEMBL1464
Q407520,CHEMBL1528
Q407699,CHEMBL15594
Q407768,CHEMBL16200
Q407841,CHEMBL772
Q407952,CHEMBL12587
Q408044,CHEMBL15910
Q408061,CHEMBL442329
Q408427,CHEMBL437
Q408491,CHEMBL1644700
Q408524,CHEMBL88
Q408556,CHEMBL1201237
Q408570,CHEMBL416
Q408634,CHEMBL284328
Q408652,CHEMBL15063
Q408676,CHEMBL527
Q408717,CHEMBL1237028
Q408822,CHEMBL1161636
Q408876,CHEMBL122617
Q408883,CHEMBL29411
Q408952,CHEMBL279865
Q409202,CHEMBL363707
Q409236,CHEMBL814
Q409332,CHEMBL345768
Q409361,CHEMBL2106073
Q409397,CHEMBL276218
Q409478,CHEMBL50
Q409492,CHEMBL30
Q409558,CHEMBL1200790
Q409654,CHEMBL346085
Q409665,CHEMBL964
Q409672,CHEMBL549
Q409728,CHEMBL1355
Q409981,CHEMBL1201319
Q410066,CHEMBL15901
Q410095,CHEMBL1371409
Q410195,CHEMBL1279
Q410198,CHEMBL446143
Q410237,CHEMBL1771
Q410291,CHEMBL6966
Q410352,CHEMBL940
Q410358,CHEMBL714
Q410387,CHEMBL104943
Q410435,CHEMBL388590
Q410534,CHEMBL91
Q410557,CHEMBL105608
Q410663,CHEMBL1445
